Source,Target,Point Difference,Mean Distance,o3D Distance
silla_2.pcd,silla_0.pcd,1815.0,1.4434012965065701,0.3061475429783368
silla_2.pcd,kitchen_3.pcd,2950.0,2.737845813628053,1.5005770336648614
silla_2.pcd,kitchen_1.pcd,3863.0,3.178079314333862,1.7776100144183569
silla_2.pcd,lcar1.pcd,12964.0,12.30741738137086,1.4834126107148717
silla_2.pcd,kitchen_0.pcd,3315.0,3.2832460128550385,1.7999223543900784
silla_2.pcd,kitchen_2.pcd,4702.0,3.1040890196175432,1.9171579533758476
silla_2.pcd,silla_1.pcd,6077.0,1.2602995847403744,0.30439436483715154
silla_2.pcd,lcar3.pcd,13017.0,12.29983149025721,1.4820322791873217
silla_2.pcd,lcar2.pcd,13206.0,12.70361477082431,1.4822931114896476
silla_0.pcd,silla_2.pcd,1815.0,1.4434012965065701,0.3327640072000359
silla_0.pcd,kitchen_3.pcd,1135.0,2.8845530219068736,1.5500278039525652
silla_0.pcd,kitchen_1.pcd,2048.0,3.426341832519214,1.9703833884911282
silla_0.pcd,lcar1.pcd,14779.0,12.529131642563673,1.7225920340651488
silla_0.pcd,kitchen_0.pcd,1500.0,3.5056725466580825,1.9355765430020107
silla_0.pcd,kitchen_2.pcd,2887.0,3.306824537494988,2.1334158506601204
silla_0.pcd,silla_1.pcd,7892.0,1.1579443538594443,0.31464362941065055
silla_0.pcd,lcar3.pcd,14832.0,12.497365834684528,1.720466121319874
silla_0.pcd,lcar2.pcd,15021.0,12.903097472881225,1.7209047323085485
kitchen_3.pcd,silla_2.pcd,2950.0,2.737845813628053,1.3750531625286022
kitchen_3.pcd,silla_0.pcd,1135.0,2.8845530219068736,1.2217112498210247
kitchen_3.pcd,kitchen_1.pcd,913.0,1.301493644156989,0.25844182502093477
kitchen_3.pcd,lcar1.pcd,15914.0,12.517280212027691,2.1688824671725877
kitchen_3.pcd,kitchen_0.pcd,365.0,1.3794093576266853,0.24871664340137292
kitchen_3.pcd,kitchen_2.pcd,1752.0,1.181414232126259,0.2394388946400792
kitchen_3.pcd,silla_1.pcd,9027.0,2.875124428182537,1.7251588911178852
kitchen_3.pcd,lcar3.pcd,15967.0,12.412115042319336,2.193499655869886
kitchen_3.pcd,lcar2.pcd,16156.0,12.60736224879229,2.1844044109569634
kitchen_1.pcd,silla_2.pcd,3863.0,3.178079314333862,1.6275388542447176
kitchen_1.pcd,silla_0.pcd,2048.0,3.426341832519214,1.6256157391160269
kitchen_1.pcd,kitchen_3.pcd,913.0,1.301493644156989,0.32446542582298393
kitchen_1.pcd,lcar1.pcd,16827.0,12.531374530835926,2.3213233641802256
kitchen_1.pcd,kitchen_0.pcd,548.0,1.1939602420480757,0.11600259738359078
kitchen_1.pcd,kitchen_2.pcd,839.0,1.1644843237087001,0.2538493297816034
kitchen_1.pcd,silla_1.pcd,9940.0,3.4051033847214813,2.249631884368481
kitchen_1.pcd,lcar3.pcd,16880.0,12.433266475978165,2.344008468857054
kitchen_1.pcd,lcar2.pcd,17069.0,12.641133063396504,2.3354988940318964
lcar1.pcd,silla_2.pcd,12964.0,12.30741738137086,11.01669830563167
lcar1.pcd,silla_0.pcd,14779.0,12.529131642563673,11.24860989864173
lcar1.pcd,kitchen_3.pcd,15914.0,12.517280212027691,11.208856956551827
lcar1.pcd,kitchen_1.pcd,16827.0,12.531374530835926,11.217835428698427
lcar1.pcd,kitchen_0.pcd,16279.0,12.6253995831153,11.257921427131542
lcar1.pcd,kitchen_2.pcd,17666.0,12.506420164999815,11.311873295434467
lcar1.pcd,silla_1.pcd,6887.0,12.488021938892146,11.47121221596748
lcar1.pcd,lcar3.pcd,53.0,16.09034800624698,0.07174044763977376
lcar1.pcd,lcar2.pcd,242.0,19.068677556747033,0.0689956252721923
kitchen_0.pcd,silla_2.pcd,3315.0,3.2832460128550385,1.7708302944995644
kitchen_0.pcd,silla_0.pcd,1500.0,3.5056725466580825,1.694671919553125
kitchen_0.pcd,kitchen_3.pcd,365.0,1.3794093576266853,0.418434957998006
kitchen_0.pcd,kitchen_1.pcd,548.0,1.1939602420480757,0.1254027151180625
kitchen_0.pcd,lcar1.pcd,16279.0,12.6253995831153,2.483362977373905
kitchen_0.pcd,kitchen_2.pcd,1387.0,1.2612376937639653,0.36177632448929203
kitchen_0.pcd,silla_1.pcd,9392.0,3.463861433386347,2.358295706532481
kitchen_0.pcd,lcar3.pcd,16332.0,12.502855261865822,2.514986894287155
kitchen_0.pcd,lcar2.pcd,16521.0,12.654570967970809,2.503011809120331
kitchen_2.pcd,silla_2.pcd,4702.0,3.1040890196175432,1.610774261648705
kitchen_2.pcd,silla_0.pcd,2887.0,3.306824537494988,1.575597721116426
kitchen_2.pcd,kitchen_3.pcd,1752.0,1.181414232126259,0.2101312692192195
kitchen_2.pcd,kitchen_1.pcd,839.0,1.1644843237087001,0.19065752186195595
kitchen_2.pcd,lcar1.pcd,17666.0,12.506420164999815,2.1363695599414383
kitchen_2.pcd,kitchen_0.pcd,1387.0,1.2612376937639653,0.24064926211522406
kitchen_2.pcd,silla_1.pcd,10779.0,3.2741507534315364,2.113443107155638
kitchen_2.pcd,lcar3.pcd,17719.0,12.405448890893469,2.1739499158212636
kitchen_2.pcd,lcar2.pcd,17908.0,12.660130184113102,2.1579014448212397
silla_1.pcd,silla_2.pcd,6077.0,1.2602995847403744,0.1667166199972566
silla_1.pcd,silla_0.pcd,7892.0,1.1579443538594443,0.15089967959615638
silla_1.pcd,kitchen_3.pcd,9027.0,2.875124428182537,1.5006111432567617
